480,The Cracked Egg,1000 N Green Valley Parkway #480$*$ Henderson$*$ NV 89074,Henderson,89074,36.02807582,-115.08512225,714,3.81176470588,16981241,At2bqa8emnEr5WNIosi0ow
1204,Sauce Pizza & Wine,2470 W Happy Valley Rd$*$ Phoenix$*$ AZ 85085,Phoenix,85085,33.71409205,-112.1124008,374,3.78743315508,17030169,8J55FMsOXei4Xh1jHSpElw
1327,Firebirds Wood Fired Grill,6801 Northlake Mall Drive$*$ Charlotte$*$ NC 28216,Charlotte,28216,35.351243,-80.85076,533,4.15872420263,17147235,qVVjbYR0LIfJuIIzgPMTuw
1464,Bonfyre American Grille,2601 West Beltline Highway$*$ Madison$*$ WI 53713,Madison,53713,43.034760685,-89.42187057,754,4.03381962865,17503464,2YlUn3s132hNq5ueGeIiJg
1937,Presti's Bakery & Caf,12101 Mayfield Rd$*$ Cleveland$*$ OH 44106,Cleveland,44106,41.5088518,-81.598275,779,4.27933247754,16962390,orrrhqRRUORIzUSxWTveKg
2059,L'Albatros,11401 Bellflower Rd$*$ Cleveland$*$ OH 44106,Cleveland,44106,41.51162198,-81.60599967,1352,4.5,16964270,SzcCJJmreMlWCsNjupdVAA
2377,KoMex Fusion,633 N Decatur Blvd Ste H$*$ Las Vegas$*$ NV 89107,Las Vegas,89107,36.179696,-115.2063835,1323,4.47052154195,16982239,zdE82PiD6wquvjYLyhOJNA
2936,The Flying Saucer Draught Emporium,Terraces At University Place$*$ 9605 N Tryon Street Suite A$*$ Charlotte$*$ NC 28262,Charlotte,28262,35.316824215,-80.7397599,642,4.06947040498,17147264,gOOdzjVxP7Z7bGjsstRjcw
3277,Tony's Pizza,9548 Mount Holly-Huntersville Road$*$ Charlotte$*$ NC 28078,Charlotte,28078,35.357471,-80.868145,318,4.14905660377,17148387,fOKeVUHC7nb6c8G5sILdHQ
4620,Bagel Bin,Northcross$*$ 9815 Sam Furr Road Suite I$*$ NC 28078,Charlotte,28078,35.4422965,-80.8612995,286,4.06048951049,17146715,VVdbPZs0M6d_X5XdgyAhig
5187,La Unica Mexican Restaurant,16203 Northcross Drive$*$ Huntersville$*$ Charlotte$*$ NC 28078,Charlotte,28078,35.436629035,-80.8706498,561,4.25561497326,17149565,jR_p2I8h6w5lpf6GWk9Dzg
6953,Mike and Ronda's The Place,5171 West Bell Road$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,Phoenix,85308,33.63872517,-112.1709289,763,4.14036697248,17027928,fOnpoMXToa5Qiyg95E6ENg
7186,Yen Sushi & Sake Bar,17037 North 43rd Avenue #A3$*$ Deer Valley$*$ Phoenix$*$ AZ 85308,Phoenix,85308,33.6403985,-112.151466,618,4.11553398058,17030919,LtNgP4FqXp5nMFOHErK8cw
8704,Firebirds Wood Fired Grill,7716 Rea Road$*$ Charlotte$*$ NC 28277,Charlotte,28277,35.0620547,-80.815844,1497,4.25470941884,17147236,npWIa3dIPEV1MTaZNq6AUA
8940,Cajun Yard Dog,8036 Providence Road$*$ Suite 900$*$ Charlotte$*$ NC 28277,Charlotte,28277,35.0978399,-80.779584985,665,4.14165413534,17146864,KbLI0QELlAwbfDUVwo43DQ
9379,Zeitouni Grill,3419 Toringdon Way Suite 124$*$ Charlotte$*$ NC 28277,Charlotte,28277,35.068629,-80.842766,452,4.12123893805,17150451,ExtP8z3SVyut_RICc9i_DA
11357,131 Main,9886 Rea Road$*$ Charlotte$*$ NC 28277,Charlotte,28277,35.0341674,-80.8071522,811,4.14648581998,17148614,110iMPMPEEjFlf8HKVq84g
11882,Ilios Noche,11508 Providence Road$*$ Suite I$*$ Charlotte$*$ NC 28277,Charlotte,28277,35.053618805,-80.770101765,890,4.07808988764,17147444,c-l4nDPZcEwapEiV-Xf08w
12473,Cibo,603 North 5th Avenue$*$ Downtown$*$ Phoenix$*$ AZ 85003,Phoenix,85003,33.4549255,-112.0799715,2519,4.58431917428,17025909,9a3DrZvpYxVs3k_qwlCNSw
13593,Sullivan's Steakhouse,1928 South Boulevard$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.21039945,-80.8596522,671,4.07242921013,17148288,UByM7N0mF-ylIGUuIWHCtA
13688,Price's Chicken Coop,1614 Camden Road$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.21446305,-80.85744975,1395,4.3917562724,17147994,_5UAFrD3EDgJO1aZgRxH7w
15034,Thai Taste,324 East Boulevard$*$ Dilworth$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.2102625,-80.8560775,679,3.90559646539,17148369,aIJqDWUt10iS45zYCr0KcQ
15969,Ru San's,2440 Park Road$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.19779934,-80.852260525,1563,4.10499040307,17148099,osSwv6CJy5hDKQdOKeyTow
16636,Bad Daddy's Burger Bar,1626 East Boulevard$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.199052,-80.84081835,1749,4.46758147513,17148552,yWUBX9Pe6pzh1PjVj04UmQ
17310,Mac's Speed Shop,2511 South Boulevard$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.20295075,-80.86436445,1741,4.28828259621,17147666,FSB3Jb4t11KkMyEi_7-s6Q
17941,300 East,300 East Boulevard$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.21070765,-80.8565998,1056,4.17528409091,17146635,D2ojX9bvE0_-aIj9BhdZZA
18005,Luna's Living Kitchen,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.208635025,-80.86148096,530,4.3158490566,17150072,TLWZK8NIpn4zI4_yut-q6Q
18115,Luna's Living Kitchen,2102 South Boulevard$*$ Suite 300$*$ Charlotte$*$ NC 28203,Charlotte,28203,35.20878729,-80.861342755,458,4.28689956332,17150072,R1jJQi2yR44D_2ileqr8kA
18923,Bonito Michoacan,3715 S Decatur Boulevard$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.1222299,-115.20863585,736,4.13858695652,16977626,lOQPeguczAueJnLmDUTfGg
19169,Carnival World & Seafood Buffet,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,Las Vegas,89103,36.11675637,-115.1872049,637,3.45949764521,16977828,KhWl4Mwhm_Oqq0zIIz-0wQ
19576,Nora's Italian Cuisine,6020 W Flamingo Road$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.1148146,-115.2218587,1521,4.07205785667,16979551,pHJu8tj3sI8eC5aIHLFEfQ
19693,Carnival World Buffet,Rio All-Suite Hotel & Casino$*$ 3700 W Flamingo Road,Las Vegas,89103,36.11679497,-115.1881973,1756,3.630523918,16977828,FLMxWQO-ckCQmGZhU9OQgw
20022,In-N-Out Burger,4888 Dean Martin Drive$*$ Las Vegas$*$ NV 89103,Las Vegas,89103,36.10116425,-115.1824986,1924,4.44532224532,16978756,nVAJZ6BJ9PPlxDXn976R6A
23660,Taqueria La Unica,4305 Old Monroe Road$*$ NC 28079,Charlotte,28079,35.0677782,-80.67781055,525,4.5,17149730,57aBx6Mo_VRk_kMA8J5Efg
23845,BreadWorks Bakery,2110 Brighton Rd$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.461942,-80.0191735,497,4.5,17036048,Uh6EhbFKgQlhVpfvnqsfHA
23888,Legends of the North Shore Restaurant,500 E North Avenue$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.45658455,-80.0015089,730,4.25849315068,17036766,QeShrs6cUNBjJoTCkJiB0g
24156,Max's Allegheny Tavern,537 Suismon St$*$ Pittsburgh$*$ PA 15212,Pittsburgh,15212,40.4551233,-80.0001055,1159,4.42407247627,17036875,_-W_hRQRDEqVdO1WKGa-DQ
24860,Spinato's Pizzeria,5509 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.517222205,-112.06424765,455,4.0,17029287,_mg5bYknpZgaWSfjQVmrJQ
25434,Sierra Bonita Grill,6933 North 7th Street$*$ Midtown$*$ Phoenix$*$ AZ 85014,Phoenix,85014,33.5378335,-112.0647555,646,4.05294117647,17029205,J5ebC7fKqrSF8KuS8d6hgw
