,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id
56548,56548,a104501,b552,The Vig,Phoenix,85018,575,33.494489,-111.995106,4.0,4041 N 40th St,0,flE7Sn2JGs0n3SAtaep6Zw,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0
56762,56762,a105208,b511,My Slice of the Pie Pizzeria,Phoenix,85018,158,33.49566205,-112.0010076,4.5,3724 E Indian School Rd,0,NeDqVEiin0q-FxCvOKiERw,La Grande Orange Pizzeria,Phoenix,85018,760,33.501531,-111.995564,4.5,4410 N 40th St$*$ Phoenix$*$ AZ 85018,17027424,0
56890,56890,a106437,b552,On The Grill,Phoenix,85018,4,33.479889,-111.997771,4.0,3923 E Thomas Rd,0,QkTnoDfl7-cLQEAW9TqMQQ,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0
57507,57507,a114523,b504,Redemption Arcadia,Phoenix,85018,8,33.51036973,-112.0097906,4.0,3330 E Camelback Rd,0,t5E00feZ15wN_AVNCgzWLw,Postino Arcadia,Phoenix,85018,1142,33.502363,-111.996517,4.8,3939 East Campbell Avenue$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17028658,0
57551,57551,a115169,b596,Chicago Gyros,Phoenix,85018,62,33.4948197,-111.9798208,4.0,4730 E Indian School$*$ Ste 117,0,Qng9lEqWA9uTtm6oq2rZuw,Chicago Hamburger Co.,Phoenix,85018,204,33.494993,-112.00099,4.0,3749 E Indian School Rd$*$ Phoenix$*$ AZ 85018,17025788,0
57556,57556,a115285,b552,The Henry,Phoenix,85018,716,33.508841,-111.9843047,4.0,4455 E Camelback Rd,0,LelAlfuj5oVRF9CQdWLsNQ,The Vig,Phoenix,85018,349,33.493931,-111.995324,4.1,4041 N 40th St$*$ Phoenix$*$ AZ 85018,17029878,0
57595,57595,a116081,b593,Capri on Camelback,Phoenix,85018,44,33.5118839,-111.9949838,1.5,5115 N 40th St,0,L2AXJIq3S50lE-tZt9MGdA,Vincent on Camelback,Phoenix,85018,219,33.510081,-111.996757,4.0,3930 East Camelback Road$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17029906,0
57633,57633,a116688,b504,Postino Arcadia,Phoenix,85018,1124,33.5021111,-111.9963386,4.5,3939 E Campbell Ave,0,u-SJ5QUwrNquL9VnXwl8cg,Postino Arcadia,Phoenix,85018,1142,33.502363,-111.996517,4.8,3939 East Campbell Avenue$*$ Biltmore/Arcadia$*$ Phoenix$*$ AZ 85018,17028658,0
57775,57775,a40323,b2371,Sushi Tachi,North Las Vegas,89084,306,36.27607546,-115.1778464,3.5,2745 W Centennial Pkwy$*$ Ste 130,0,xrBQKZbhJMCtaZxeJ0tzTQ,Sushi Tachi,Las Vegas,89084,271,36.276388,-115.178042,4.2,2745 W Centennial Pkwy #130$*$ North Las Vegas$*$ NV 89084,16981349,0
57881,57881,a347,b1532,7-Eleven,Pittsburgh,15222,3,40.4425995,-80.0001807,2.0,643 Liberty Avenue,0,4nJTFvIDmIkgvwf36XruOg,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0
57946,57946,a1514,b1577,Frost & Co Diamonds,Pittsburgh,15222,4,40.4427108,-79.9988724,3.0,717 Liberty Ave$*$ Ste 212,0,dQmWk3dqZW3urWemHmjVAA,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
57998,57998,a3447,b1597,Edgar Tacos Stand,Pittsburgh,15222,40,40.455585,-79.977913,5.0,2627 Penn Ave,0,TcCWYYL6FxBTT6KrxabwRg,Edgar's Tacos,Pittsburgh,15222,335,40.4514733,-79.9834212,4.1,2023 Penn Ave$*$ Pittsburgh$*$ PA 15222,17041732,0
58199,58199,a6999,b1512,Andy's Sushi Bar,Pittsburgh,15222,50,40.450111,-79.9858749,4.0,1711 Penn Ave,0,1LUaZFVMEjodl1tbAGF3sQ,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
58256,58256,a8649,b1577,Bella Notte,Pittsburgh,15222,103,40.4508375,-79.9839077,3.5,1914 Penn Ave,0,JTKzGJvIK9yuoUf-erV2qQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
58767,58767,a22019,b1589,Mexico City,Pittsburgh,15222,36,40.4375833,-80.000437,4.0,111 Smithfield St,0,#NAME?,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0
58849,58849,a27503,b1512,Two Louie's Market,Pittsburgh,15222,19,40.4464398,-79.9917383,4.5,1233 Penn Ave,0,UPKWR2kaOne5d4AmdqdZlg,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
58999,58999,a32222,b1512,Original Fish Market,Pittsburgh,15222,76,40.4441681,-79.994852,2.5,1001 Liberty Ave,0,JVJ9v-gFH68m6hA1NyQmbg,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
59339,59339,a46894,b1512,Mahoney's Restaurant,Pittsburgh,15222,31,40.4436238,-79.9963285,2.5,949 Liberty Ave,0,Ei4voH2C7JgCyFmABY_CfA,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
59467,59467,a48537,b1589,Mexico City,Pittsburgh,15222,22,40.43978,-80.001441,3.0,409 Wood St,0,Quh8Fjutyw15B6ZGZEf2gA,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0
59530,59530,a49532,b1516,Kaya,Pittsburgh,15222,463,40.4516553,-79.984218,4.0,2000 Smallman St,0,Ul6JwluSTm12PVDIqnNaTg,Kaya,Pittsburgh,15222,1837,40.451699,-79.984444,4.5,2000 Smallman St$*$ Pittsburgh$*$ PA 15222,17036710,0
59592,59592,a50847,b1533,P&G's Pamela's Diner,Pittsburgh,15222,344,40.4519715,-79.9836571,4.0,60 21 St,0,sc__kdcFV4IcNTfBx1707w,Pamela's P & G Diner,Pittsburgh,15222,978,40.452519,-79.984386,4.4,60 21st St$*$ Pittsburgh$*$ PA 15222,17037065,0
59612,59612,a51779,b1533,Deluca's Diner,Pittsburgh,15222,413,40.4515431,-79.9837258,4.0,2015 Penn Ave,0,oeW0vIYd3rUnAPgmD4fEFg,Pamela's P & G Diner,Pittsburgh,15222,978,40.452519,-79.984386,4.4,60 21st St$*$ Pittsburgh$*$ PA 15222,17037065,0
59614,59614,a51779,b1550,Deluca's Diner,Pittsburgh,15222,413,40.4515431,-79.9837258,4.0,2015 Penn Ave,0,oeW0vIYd3rUnAPgmD4fEFg,Deluca's,Pittsburgh,15222,1153,40.451356,-79.983915,4.3,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036305,0
59659,59659,a56050,b1512,Marty's Market,Pittsburgh,15222,135,40.4534962,-79.9822822,3.5,2301 Smallman St,0,bm8-Kriygv-R8DVCmKzoOw,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
59676,59676,a57401,b1577,Leaf & Bean,Pittsburgh,15222,38,40.4521039,-79.9818756,4.0,2200 Penn Ave,0,b4Atbd4V8UKEoXzhbL-o5g,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
59792,59792,a60900,b1533,Kelly O's Diner,Pittsburgh,15222,115,40.4540482,-79.9814381,4.0,2400 Smallman St,0,GGEeGKUez_pGqYXtk-sKvQ,Pamela's P & G Diner,Pittsburgh,15222,978,40.452519,-79.984386,4.4,60 21st St$*$ Pittsburgh$*$ PA 15222,17037065,0
59849,59849,a61784,b1512,Stan's Market,Pittsburgh,15222,15,40.4507487,-79.9848259,3.5,1809 Penn Ave,0,knHuM2uLP91WAgVqyVQglg,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
59901,59901,a62789,b1532,Eleven,Pittsburgh,15222,501,40.4460016,-79.9935003,4.0,1150 Smallman St,0,d2ZQRjuizstCTnicysmpMQ,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0
60029,60029,a64789,b1512,Robert Wholey and Co Fish Market,Pittsburgh,15222,175,40.450111,-79.9858749,4.0,1711 Penn Ave,0,hsRjct8UiUHU54B983GmcA,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
60045,60045,a64977,b1561,Chicken Latino,Pittsburgh,15222,143,40.45164977,-79.98317242,4.0,155 21st St,0,Chr3YCuvt2mD-BHgqeo-OA,Chicken Latino,Pittsburgh,15222,411,40.4516755,-79.9830955,4.3,155 21st St$*$ Pittsburgh$*$ PA 15222,17037721,0
60064,60064,a65498,b1550,Lucy's,Pittsburgh,15222,38,40.4524729,-79.9815138,4.5,2216 Penn Ave,0,im2J4GZZdEl7s4o21D7rgw,Deluca's,Pittsburgh,15222,1153,40.451356,-79.983915,4.3,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036305,0
60176,60176,a66398,b1577,Mahla & Co. Antiques,Pittsburgh,15222,8,40.4503391,-79.9867761,4.0,17th & Smallman St,0,zZuDZscQgFS8cgjK76t7WQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
60197,60197,a66695,b1589,The Enrico Biscotti,Pittsburgh,15222,128,40.4513158,-79.9832025,4.0,2022 Penn Ave,0,#NAME?,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0
60201,60201,a66696,b1532,Eliza's Oven,Pittsburgh,15222,13,40.454311,-79.980494,4.5,2401 Penn Ave$*$ Stall 2,0,XxoVuGxIRg0e9RevFhWFag,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0
60231,60231,a67205,b1532,Seven,Pittsburgh,15222,11,40.4436301,-80.0007491,4.0,130 Seventh St,0,etJxsar4SgEDfvorgy902w,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0
60348,60348,a68757,b1597,Emporio Tobacco,Pittsburgh,15222,7,40.439204,-79.998642,3.5,410 Forbes Ave,0,ORjLfL63EC3y_u0rTGJY2g,Edgar's Tacos,Pittsburgh,15222,335,40.4514733,-79.9834212,4.1,2023 Penn Ave$*$ Pittsburgh$*$ PA 15222,17041732,0
61055,61055,a80238,b1561,Live Nation,Pittsburgh,15222,3,40.440696,-80.0096926,3.5,101 Commonwealth Pl,0,JATyVVafFGQUV06XQYKVKQ,Chicken Latino,Pittsburgh,15222,411,40.4516755,-79.9830955,4.3,155 21st St$*$ Pittsburgh$*$ PA 15222,17037721,0
61227,61227,a83289,b1589,Hello Bistro,Pittsburgh,15222,61,40.440093,-80.0008532,3.5,292 Forbes Ave,0,ZYL14FvffzTKU9BpXQt79Q,Enrico Biscotti,Pittsburgh,15222,501,40.451189,-79.983623,4.2,2022 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036389,0
61533,61533,a88470,b1537,Gaucho Parrilla Argentina,Pittsburgh,15222,985,40.449043,-79.987573,4.5,1601 Penn Ave,0,u4sTiCzVeIHZY8OlaL346Q,Gaucho Parrilla Argentina,Pittsburgh,15222,465,40.449077,-79.987519,4.4,1607 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042997,0
61768,61768,a92299,b1597,Bruegger's Bagels,Pittsburgh,15222,22,40.4381509,-80.0042481,2.5,Market Square$*$ 26 Market St,0,8mx_TpMhpFLdQi_K5aPdOg,Edgar's Tacos,Pittsburgh,15222,335,40.4514733,-79.9834212,4.1,2023 Penn Ave$*$ Pittsburgh$*$ PA 15222,17041732,0
61801,61801,a92942,b1532,7-Eleven,Pittsburgh,15222,4,40.4402842,-80.0009758,2.5,429 Wood St,0,rLk3eeSbcRBUMlC3j6bBkQ,Eleven,Pittsburgh,15222,1310,40.445903,-79.99342,4.4,1150 Smallman St$*$ Pittsburgh$*$ PA 15222,17036383,0
61832,61832,a93561,b1533,Carlo's Garage Winery,Pittsburgh,15222,3,40.4513158,-79.9832025,3.5,2022 Penn Ave,0,hFkY-4JhWPc2LDRj2eyBSA,Pamela's P & G Diner,Pittsburgh,15222,978,40.452519,-79.984386,4.4,60 21st St$*$ Pittsburgh$*$ PA 15222,17037065,0
61904,61904,a95887,b1550,Doubleday's,Pittsburgh,15222,24,40.4435521,-80.0022028,3.5,121 6th St,0,R06MTQpLNdsnr5wrCkMXfQ,Deluca's,Pittsburgh,15222,1153,40.451356,-79.983915,4.3,2015 Penn Ave$*$ Pittsburgh$*$ PA 15222,17036305,0
62068,62068,a97323,b1597,Nathan's Famous,Pittsburgh,15222,5,40.439226,-80.0017249,3.0,305 Wood St,0,lzjnPNA1ALVpWCo_ygRatw,Edgar's Tacos,Pittsburgh,15222,335,40.4514733,-79.9834212,4.1,2023 Penn Ave$*$ Pittsburgh$*$ PA 15222,17041732,0
63039,63039,a124725,b1512,I Made It Market,Pittsburgh,15222,7,40.4419281,-79.99793,4.5,623 Smithfield St,0,6N0AKJN3iEBRRituyVc-LQ,Wholey's Fish Market,Pittsburgh,15222,1034,40.449952,-79.985985,4.6,1711 Penn Ave$*$ Pittsburgh$*$ PA 15222,17037681,0
63056,63056,a125355,b1577,Meat & Potatoes,Pittsburgh,15222,1249,40.44314459,-80.00110379,4.0,649 Penn Ave,0,JLbgvGM4FXh9zNP4O5ZWjQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
63366,63366,a137821,b1577,Sol Pilates,Pittsburgh,15222,3,40.443611,-79.9980439,4.0,900 Penn Ave,0,VeYWXO1AaqIwpnyPUMckxQ,Meat & Potatoes,Pittsburgh,15222,1865,40.4431017,-80.0012236,4.2,649 Penn Ave$*$ Pittsburgh$*$ PA 15222,17042327,0
63762,63762,a55539,b1814,KINKA IZAKAYA BLOOR,Toronto,M5S 1Y6,326,43.665157,-79.410658,4.0,559 Bloor St W,0,CN5nuUQod0f8g3oh99qq0w,KINKA IZAKAYA BLOOR,Toronto,M5S 1Y6,850,43.66528611,-79.41060556,4.7,559 Bloor Street West$*$ ON M5S 1Y6,8907790,0
63953,63953,a9512,b467,La Mestiza,Madison,53719,141,43.056038,-89.4941951,4.0,6644 Odana Rd,0,wEisic-u9Yj543iYzfpAhw,La Mestiza,Madison,53719,200,43.0561,-89.4952,4.0,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0
64180,64180,a17744,b405,Thai Basil,Madison,53719,71,43.0322241,-89.4979918,4.0,6714 Raymond Rd,0,ERXnerHflh86VOYKAopLMw,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
64181,64181,a17744,b424,Thai Basil,Madison,53719,71,43.0322241,-89.4979918,4.0,6714 Raymond Rd,0,ERXnerHflh86VOYKAopLMw,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
64489,64489,a31312,b424,True Laser,Madison,53719,5,43.05509,-89.519181,3.5,8066 Watts Rd,0,MFLagLDZ5BkRmmATQG1rrg,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
64815,64815,a43051,b499,Sa-Bai Thong West,Madison,53719,95,43.0572311,-89.5000386,3.5,6802 Odana Rd,0,rdXAuI2fKilcf65W-QoASQ,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0
64816,64816,a43051,b500,Sa-Bai Thong West,Madison,53719,95,43.0572311,-89.5000386,3.5,6802 Odana Rd,0,rdXAuI2fKilcf65W-QoASQ,Sa-Bai Thong,Madison,53719,151,43.057095,-89.500404,3.9,6802 Odana Rd$*$ Madison$*$ WI 53719,17504097,0
64964,64964,a47093,b405,Thai Noodles,Fitchburg,53719,80,43.01497392,-89.4578836,3.5,5957 Mckee Rd$*$ Ste 3,0,56KQVyOg8eGtwLIgrV51NA,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
64965,64965,a47093,b424,Thai Noodles,Fitchburg,53719,80,43.01497392,-89.4578836,3.5,5957 Mckee Rd$*$ Ste 3,0,56KQVyOg8eGtwLIgrV51NA,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
64966,64966,a47093,b427,Thai Noodles,Fitchburg,53719,80,43.01497392,-89.4578836,3.5,5957 Mckee Rd$*$ Ste 3,0,56KQVyOg8eGtwLIgrV51NA,Saigon Noodle,Madison,53719,233,43.0567,-89.4977,4.2,6754 Odana Rd$*$ Madison$*$ WI 53719,17502587,0
65013,65013,a56307,b405,Pink Poodle,Madison,53719,25,43.0527135,-89.4841964,2.0,5918 Odana Rd,0,3QxRg8v2Uej_--8DyO3maQ,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
65015,65015,a56307,b427,Pink Poodle,Madison,53719,25,43.0527135,-89.4841964,2.0,5918 Odana Rd,0,3QxRg8v2Uej_--8DyO3maQ,Saigon Noodle,Madison,53719,233,43.0567,-89.4977,4.2,6754 Odana Rd$*$ Madison$*$ WI 53719,17502587,0
65030,65030,a56447,b460,Quivey's Grove,Fitchburg,53719,117,43.00922,-89.4792573,3.5,6261 Nesbitt Rd,0,Zzvjuyxr1iudPN_heAAygw,Quivey's Grove,Madison,53719,266,43.0088,-89.481,4.0,6261 Nesbitt Rd$*$ Fitchburg$*$ WI 53719,17501797,0
65382,65382,a74555,b499,Ginza of Tokyo,Madison,53719,58,43.056628,-89.4989583,2.5,6734 Odana Rd,0,f1loh_1c_zp6P1Zv9KSaPg,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0
65710,65710,a94142,b467,Nani Restaurant,Madison,53719,107,43.055135,-89.497286,3.5,518 Grand Canyon Dr,0,8cjXEmuqgCbIRudb2D52qw,La Mestiza,Madison,53719,200,43.0561,-89.4952,4.0,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0
65832,65832,a96497,b405,The Buckle,Madison,53719,3,43.056366,-89.509344,3.5,West Towne Mall$*$ 44 W Towne Mall$*$ Ste A5a,0,JVn0ZqyIb1IqVPvsTvRnWw,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
65833,65833,a96497,b424,The Buckle,Madison,53719,3,43.056366,-89.509344,3.5,West Towne Mall$*$ 44 W Towne Mall$*$ Ste A5a,0,JVn0ZqyIb1IqVPvsTvRnWw,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
66014,66014,a101538,b405,The Nile,Madison,53719,106,43.0530217,-89.4863743,3.5,6119 Odana Rd,0,nJClfvVwSrr2uuo_y2wO4w,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
66015,66015,a101538,b424,The Nile,Madison,53719,106,43.0530217,-89.4863743,3.5,6119 Odana Rd,0,nJClfvVwSrr2uuo_y2wO4w,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
66056,66056,a101989,b405,Pink Poodle,Madison,53719,20,43.0527176,-89.4854155,1.5,6017 Odana Rd,0,mW52SIegbJ3G5GcAB1H9-A,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
66058,66058,a101989,b427,Pink Poodle,Madison,53719,20,43.0527176,-89.4854155,1.5,6017 Odana Rd,0,mW52SIegbJ3G5GcAB1H9-A,Saigon Noodle,Madison,53719,233,43.0567,-89.4977,4.2,6754 Odana Rd$*$ Madison$*$ WI 53719,17502587,0
66295,66295,a106567,b424,KLC Nails,Madison,53719,28,43.0499492,-89.474345,4.0,5509 Odana Rd,0,5842ijShUcmGq4Xb9VUIcQ,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
66337,66337,a108503,b424,The Limited,Madison,53719,3,43.0570896,-89.5092997,4.5,59 W Towne Mall$*$ Space B10,0,Dw4qOCZYT3ge2lGvXmet7Q,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
66403,66403,a118685,b467,Gamestop,Madison,53719,3,43.0609535,-89.5259657,3.0,8118 Mineral Point Rd,0,WfdYDcDRg15IUQOzJNReAQ,La Mestiza,Madison,53719,200,43.0561,-89.4952,4.0,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0
66526,66526,a132912,b424,Treat Nail Spa,Madison,53719,7,43.0562995,-89.5236669,4.5,8215 Plaza Dr$*$ Ste A,0,BLzbXET--agqMYrywJRJ7w,The Nile,Madison,53719,250,43.053326,-89.485676,4.3,6119 Odana Road$*$ Madison$*$ WI 53719,17503651,0
66607,66607,a134700,b499,China One West,Madison,53719,11,43.055135,-89.497286,2.5,518 Grand Canyon Dr,0,e-finkL51hroOJ0GZ8jcXA,Ginza of Tokyo West,Madison,53719,178,43.0567,-89.4973,3.9,6734 Odana Rd$*$ Madison$*$ WI 53719,17502221,0
66613,66613,a134701,b467,La Bamba,Madison,53719,49,43.0496415,-89.5032438,3.0,710 S Gammon Rd,0,VSu7GYn-Zln5TLZh_fMtvQ,La Mestiza,Madison,53719,200,43.0561,-89.4952,4.0,6644 Odana Road$*$ Madison$*$ WI 53719,17502327,0
66693,66693,a136367,b405,Saigon Noodles,Madison,53719,267,43.0571457,-89.4995195,4.0,6754 Odana Rd,0,HHCn1akqIpl_BhdcJoYPbw,Thai Noodles,Madison,53719,494,43.01524,-89.457519,4.6,5957 Mckee Rd$*$ Fitchburg$*$ WI 53719,17503422,0
66695,66695,a136367,b427,Saigon Noodles,Madison,53719,267,43.0571457,-89.4995195,4.0,6754 Odana Rd,0,HHCn1akqIpl_BhdcJoYPbw,Saigon Noodle,Madison,53719,233,43.0567,-89.4977,4.2,6754 Odana Rd$*$ Madison$*$ WI 53719,17502587,0
66933,66933,a2735,b401,La Lingerie,Madison,53703,6,43.0841944,-89.3765366,5.0,845 E Johnson St,0,59SEQqdtdC__k439xdxXHg,Ha Long Bay,Madison,53703,1028,43.085073,-89.361469,4.9,1353 Williamson St.$*$ Madison$*$ WI 53703,17503434,0
67053,67053,a2817,b453,Cafe Soleil,Madison,53703,25,43.076314,-89.3837429,4.5,25 N Pinckney St,0,lk9FXwKCOxIvXAWF8zr_Zg,Natt Spil,Madison,53703,267,43.0745,-89.3799,4.1,211 King St$*$ Madison$*$ WI 53703,17503325,0
67100,67100,a3367,b404,Mr Brews Taphouse,Madison,53703,25,43.0743197,-89.39042036,3.5,305 W Johnson St,0,U5pW5iuYdB_8NxEopCnpqQ,Weary Traveler Freehouse,Madison,53703,649,43.0833,-89.364,4.6,1201 Williamson St$*$ Madison$*$ WI 53703,17502749,0
67247,67247,a4472,b444,The Kitchen Gallery,Madison,53703,18,43.0743303,-89.3811075,4.0,107 King St,0,gM8jPz3-lGIbtHZH9UHg9A,The Roman Candle,Madison,53703,303,43.0815,-89.3671,4.1,1054 Williamson St Ste A$*$ Madison$*$ WI 53703,17502578,0
67524,67524,a5001,b496,S Caf,Madison,53703,9,43.07427521,-89.38120548,5.0,117 South Pinckney Street,0,3r1-6Hrfiobded7DRxstxQ,Sunroom Cafe,Madison,53703,176,43.07499,-89.395985,3.9,638 State St$*$ Madison$*$ WI 53703,17503348,0
67737,67737,a6250,b432,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,L'Etoile Restaurant,Madison,53703,334,43.075786,-89.383231,4.2,1 South Pinckney Street$*$ Madison$*$ WI 53703,17503345,0
67743,67743,a6250,b446,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Kabul Afghanistan Restaurant,Madison,53703,278,43.0747,-89.3943,4.1,540 State St$*$ Madison$*$ WI 53703,17502314,0
67744,67744,a6250,b447,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Bandung Indonesian Restaurant,Madison,53703,262,43.0763,-89.3756,4.1,600 Williamson St$*$ Madison$*$ WI 53703,17501972,0
67747,67747,a6250,b454,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Wasabi Japanese Restaurant,Madison,53703,241,43.0747,-89.3925,4.1,449 State St Ste 2G$*$ Madison$*$ WI 53703,17502747,0
67748,67748,a6250,b456,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Lao Laan-Xang Restaurant,Madison,53703,198,43.0827,-89.3654,4.1,1146 Williamson St$*$ Madison$*$ WI 53703,17502331,0
67749,67749,a6250,b468,Takara Japanese Restaurant,Madison,53703,125,43.074663,-89.3907855,3.5,315 State St,0,mOzxFBAHWwpuH7u5xP0oHw,Parthenon Gyros Restaurant,Madison,53703,174,43.0749,-89.3904,4.0,316 State St$*$ Madison$*$ WI 53703,17502488,0
68113,68113,a8162,b469,Echo Tap & Grill,Madison,53703,74,43.0682028,-89.3914096,4.0,554 W Main St,0,k9wv5-0u8q4S75MIaTX6aA,Eldorado Grill,Madison,53703,211,43.0778,-89.3723,4.0,744 Williamson St$*$ Madison$*$ WI 53703,17502172,0
68135,68135,a8163,b440,Saz,Madison,53703,4,43.075141,-89.394958,4.0,558 State St,0,sbOlgkiKttP4Cq_p6Z-f4w,Graze,Madison,53703,469,43.075444,-89.382871,4.1,1 S Pinckney Street$*$ Madison$*$ WI 53703,17503559,0
